,size,total_sqft,bath,price,location,bhk,price_per_sqft
66,2 BHK,1150.0,2.0,36.8,Alandi Road,2,32.0
67,3 BHK,2144.6,4.0,145.0,Alandi Road,3,67.61167583698592
69,3 BHK,1856.0,3.0,135.0,Alandi Road,3,72.73706896551724
70,3 BHK,1800.0,4.0,125.0,Alandi Road,3,69.44444444444444
71,2 BHK,1338.0,2.0,103.0,Alandi Road,2,76.98056801195814
73,2 Bedroom,2480.0,2.0,160.0,Alandi Road,2,64.51612903225806
74,4 BHK,3596.0,5.0,279.0,Alandi Road,4,77.58620689655173
76,5 Bedroom,2400.0,5.0,200.0,Alandi Road,5,83.33333333333333
77,2 BHK,1565.0,2.0,69.0,Alandi Road,2,44.08945686900959
78,2 BHK,1185.0,2.0,51.15,Alandi Road,2,43.164556962025316
79,2 BHK,1091.0,2.0,33.82,Alandi Road,2,30.99908340971586
80,4 Bedroom,1200.0,4.0,125.0,Alandi Road,4,104.16666666666667
81,2 BHK,1135.0,2.0,68.0,Alandi Road,2,59.91189427312775
82,4 BHK,2658.0,5.0,189.0,Alandi Road,4,71.10609480812641
83,4 BHK,3000.0,4.0,301.0,Alandi Road,4,100.33333333333333
84,3 BHK,1830.0,4.0,150.0,Alandi Road,3,81.9672131147541
85,3 BHK,1685.0,3.0,115.0,Alandi Road,3,68.24925816023739
86,2 BHK,890.0,2.0,40.0,Alandi Road,2,44.943820224719104
87,3 BHK,1260.0,2.0,75.0,Alandi Road,3,59.523809523809526
88,2 BHK,674.0,1.0,19.9,Alandi Road,2,29.525222551928785
89,2 BHK,1049.0,2.0,51.0,Alandi Road,2,48.617731172545284
90,2 BHK,945.0,2.0,35.0,Alandi Road,2,37.03703703703704
91,3 BHK,1540.0,3.0,90.0,Alandi Road,3,58.44155844155844
93,2 BHK,1194.0,2.0,51.0,Alandi Road,2,42.71356783919598
94,2 BHK,1189.0,2.0,45.0,Alandi Road,2,37.84693019343987
95,2 BHK,1339.0,2.0,53.56,Alandi Road,2,40.0
96,2 BHK,1350.0,2.0,68.0,Alandi Road,2,50.370370370370374
98,2 BHK,1244.0,2.0,88.0,Alandi Road,2,70.73954983922829
99,3 BHK,1719.0,3.0,135.0,Alandi Road,3,78.53403141361257
100,1 BHK,416.0,1.0,17.19,Alandi Road,1,41.32211538461539
101,2 BHK,1041.0,2.0,54.0,Alandi Road,2,51.873198847262245
102,1 BHK,705.0,1.0,65.0,Alandi Road,1,92.19858156028369
105,2 BHK,1027.0,2.0,44.0,Alandi Road,2,42.84323271665044
106,3 BHK,1801.0,3.0,115.0,Alandi Road,3,63.85341476957246
107,2 BHK,1205.0,2.0,37.0,Alandi Road,2,30.70539419087137
108,2 BHK,1105.0,2.0,39.5,Alandi Road,2,35.74660633484163
109,4 BHK,3504.0,4.0,262.0,Alandi Road,4,74.77168949771689
110,2 BHK,1089.0,2.0,40.0,Alandi Road,2,36.73094582185491
111,3 BHK,925.0,2.0,49.82,Alandi Road,3,53.85945945945946
112,3 BHK,1255.0,3.0,90.0,Alandi Road,3,71.71314741035856
113,2 BHK,1200.0,2.0,45.0,Alandi Road,2,37.5
115,2 Bedroom,1200.0,2.0,75.0,Alandi Road,2,62.5
118,2 BHK,950.0,2.0,40.0,Ambegaon Budruk,2,42.10526315789474
119,2 Bedroom,1200.0,2.0,65.0,Ambegaon Budruk,2,54.166666666666664
120,3 BHK,1180.0,2.0,78.34,Ambegaon Budruk,3,66.38983050847457
121,2 BHK,1215.0,2.0,67.0,Ambegaon Budruk,2,55.1440329218107
122,2 BHK,884.0,2.0,41.1,Ambegaon Budruk,2,46.49321266968326
123,2 BHK,1036.0,2.0,50.0,Ambegaon Budruk,2,48.262548262548265
124,4 Bedroom,6000.0,5.0,400.0,Ambegaon Budruk,4,66.66666666666667
125,2 Bedroom,1240.0,2.0,60.0,Ambegaon Budruk,2,48.38709677419355
126,3 BHK,2060.0,3.0,149.0,Ambegaon Budruk,3,72.33009708737865
127,3 BHK,1890.0,4.0,127.0,Ambegaon Budruk,3,67.19576719576719
128,2 BHK,1330.0,2.0,86.98,Ambegaon Budruk,2,65.3984962406015
129,2 BHK,1115.0,2.0,50.0,Ambegaon Budruk,2,44.84304932735426
130,2 BHK,1045.0,2.0,45.0,Ambegaon Budruk,2,43.0622009569378
131,2 BHK,1070.0,2.0,54.0,Ambegaon Budruk,2,50.467289719626166
132,3 BHK,1340.0,2.0,100.0,Ambegaon Budruk,3,74.6268656716418
133,3 BHK,1500.0,2.0,143.0,Ambegaon Budruk,3,95.33333333333333
134,4 BHK,3122.0,6.0,245.0,Ambegaon Budruk,4,78.47533632286995
135,2 BHK,1089.0,2.0,43.55,Ambegaon Budruk,2,39.990817263544535
136,4 BHK,3250.0,4.0,230.0,Ambegaon Budruk,4,70.76923076923077
139,2 BHK,780.0,2.0,25.0,Ambegaon Budruk,2,32.05128205128205
141,2 BHK,1065.0,2.0,50.0,Ambegaon Budruk,2,46.948356807511736
142,1 BHK,1351.0,2.0,53.0,Ambegaon Budruk,1,39.23019985196151
143,2 BHK,1146.0,2.0,39.5,Ambegaon Budruk,2,34.467713787085515
144,2 BHK,1000.0,2.0,60.0,Ambegaon Budruk,2,60.0
145,3 BHK,1665.0,3.0,86.91,Ambegaon Budruk,3,52.1981981981982
146,2 BHK,1274.0,2.0,48.42,Ambegaon Budruk,2,38.00627943485086
147,3 BHK,1819.18,3.0,160.0,Ambegaon Budruk,3,87.9517145087347
148,3 BHK,1444.0,2.0,80.0,Ambegaon Budruk,3,55.40166204986149
149,2 BHK,1263.0,2.0,78.0,Ambegaon Budruk,2,61.757719714964374
150,3 BHK,1690.0,3.0,112.0,Ambegaon Budruk,3,66.27218934911242
151,3 BHK,1500.0,3.0,95.0,Ambegaon Budruk,3,63.333333333333336
152,1 BHK,709.0,1.0,34.385,Ambegaon Budruk,1,48.497884344146684
154,2 BHK,1000.0,2.0,68.0,Ambegaon Budruk,2,68.0
155,2 BHK,1360.0,2.0,103.0,Ambegaon Budruk,2,75.73529411764706
156,2 BHK,1140.0,2.0,52.0,Ambegaon Budruk,2,45.6140350877193
159,2 BHK,1174.0,2.0,75.0,Ambegaon Budruk,2,63.88415672913118
160,2 BHK,1075.0,2.0,30.0,Ambegaon Budruk,2,27.906976744186046
162,2 BHK,1390.0,2.0,65.0,Ambegaon Budruk,2,46.76258992805755
163,2 BHK,1010.0,2.0,35.0,Ambegaon Budruk,2,34.65346534653465
164,2 BHK,1250.0,2.0,60.0,Ambegaon Budruk,2,48.0
165,4 Bedroom,2400.0,5.0,190.0,Ambegaon Budruk,4,79.16666666666667
167,2 BHK,1200.0,2.0,52.5,Ambegaon Budruk,2,43.75
168,2 BHK,919.0,2.0,34.0,Ambegaon Budruk,2,36.996735582154514
169,2 BHK,1242.0,2.0,65.0,Ambegaon Budruk,2,52.33494363929147
170,2 BHK,913.0,2.0,36.0,Ambegaon Budruk,2,39.43044906900329
171,2 BHK,883.0,2.0,45.0,Ambegaon Budruk,2,50.962627406568515
172,3 BHK,1724.0,3.0,146.0,Ambegaon Budruk,3,84.68677494199535
174,3 BHK,1444.0,2.0,71.5,Ambegaon Budruk,3,49.51523545706371
175,2 BHK,1395.0,2.0,75.0,Ambegaon Budruk,2,53.763440860215056
176,1 BHK,600.0,1.0,47.0,Ambegaon Budruk,1,78.33333333333333
178,2 BHK,1258.0,2.0,58.0,Ambegaon Budruk,2,46.10492845786963
180,2 BHK,750.0,2.0,36.5,Ambegaon Budruk,2,48.666666666666664
181,3 Bedroom,2600.0,3.0,147.0,Ambegaon Budruk,3,56.53846153846154
182,2 Bedroom,900.0,2.0,55.0,Ambegaon Budruk,2,61.111111111111114
183,1 BHK,500.0,1.0,20.0,Ambegaon Budruk,1,40.0
184,2 BHK,1089.0,2.0,49.0,Ambegaon Budruk,2,44.99540863177227
185,2 BHK,1086.0,2.0,44.5,Ambegaon Budruk,2,40.97605893186004
186,3 BHK,1512.0,3.0,103.0,Ambegaon Budruk,3,68.12169312169313
187,3 BHK,1500.0,3.0,72.99,Ambegaon Budruk,3,48.66
188,3 Bedroom,2000.0,2.0,180.0,Ambegaon Budruk,3,90.0
189,2 BHK,1215.0,2.0,68.0,Ambegaon Budruk,2,55.96707818930041
190,3 Bedroom,2400.0,2.0,125.0,Ambegaon Budruk,3,52.083333333333336
191,3 BHK,2210.0,3.0,165.0,Ambegaon Budruk,3,74.6606334841629
192,3 BHK,1800.0,3.0,93.0,Ambegaon Budruk,3,51.666666666666664
193,4 BHK,3122.0,6.0,245.0,Ambegaon Budruk,4,78.47533632286995
194,3 BHK,1600.0,2.0,90.0,Ambegaon Budruk,3,56.25
196,3 BHK,2275.0,4.0,185.0,Ambegaon Budruk,3,81.31868131868131
197,2 BHK,900.0,2.0,72.0,Ambegaon Budruk,2,80.0
198,2 BHK,1398.0,2.0,97.0,Ambegaon Budruk,2,69.38483547925608
199,4 BHK,3270.0,4.0,205.0,Ambegaon Budruk,4,62.691131498470945
200,2 BHK,1340.0,2.0,85.0,Ambegaon Budruk,2,63.43283582089552
201,3 BHK,1350.0,3.0,70.0,Ambegaon Budruk,3,51.851851851851855
202,3 BHK,2650.0,4.0,175.0,Ambegaon Budruk,3,66.0377358490566
203,1 BHK,500.0,1.0,33.0,Ambegaon Budruk,1,66.0
204,2 BHK,984.0,2.0,45.91,Ambegaon Budruk,2,46.65650406504065
205,3 BHK,1725.0,3.0,106.0,Ambegaon Budruk,3,61.44927536231884
206,2 BHK,1035.0,2.0,39.0,Ambegaon Budruk,2,37.68115942028985
210,2 BHK,1107.83,2.0,41.51,Ambegaon Budruk,2,37.469647870160586
212,2 BHK,1220.0,2.0,62.0,Ambegaon Budruk,2,50.81967213114754
213,2 BHK,1200.0,2.0,45.0,Ambegaon Budruk,2,37.5
214,2 BHK,1310.0,2.0,60.0,Ambegaon Budruk,2,45.80152671755725
215,2 BHK,1315.0,2.0,55.0,Ambegaon Budruk,2,41.82509505703422
216,3 BHK,1450.0,2.0,73.0,Ambegaon Budruk,3,50.3448275862069
217,2 BHK,1220.0,2.0,55.0,Ambegaon Budruk,2,45.08196721311475
218,2 Bedroom,1200.0,1.0,50.0,Ambegaon Budruk,2,41.666666666666664
219,2 BHK,1150.0,2.0,45.99,Ambegaon Budruk,2,39.99130434782609
220,2 BHK,1165.0,2.0,52.0,Ambegaon Budruk,2,44.63519313304721
221,2 BHK,1160.0,2.0,49.0,Ambegaon Budruk,2,42.241379310344826
222,2 BHK,925.0,2.0,35.0,Ambegaon Budruk,2,37.83783783783784
223,3 BHK,1516.0,3.0,147.0,Ambegaon Budruk,3,96.96569920844327
224,3 BHK,1790.0,3.0,120.0,Ambegaon Budruk,3,67.0391061452514
225,2 BHK,1112.0,2.0,58.0,Ambegaon Budruk,2,52.15827338129496
226,3 BHK,1490.0,3.0,85.0,Ambegaon Budruk,3,57.04697986577181
228,2 BHK,1200.0,2.0,65.0,Anandnagar,2,54.166666666666664
232,3 BHK,1460.0,3.0,73.0,Anandnagar,3,50.0
233,2 BHK,1300.0,1.0,115.0,Anandnagar,2,88.46153846153847
234,3 BHK,1662.0,3.0,85.1,Anandnagar,3,51.203369434416366
236,3 BHK,1535.0,3.0,78.0,Anandnagar,3,50.814332247557005
237,3 BHK,1730.0,3.0,96.0,Anandnagar,3,55.49132947976879
238,3 BHK,1400.0,2.0,73.0,Anandnagar,3,52.142857142857146
240,3 BHK,1757.0,3.0,132.0,Anandnagar,3,75.12805919180421
241,2 Bedroom,1200.0,2.0,125.0,Anandnagar,2,104.16666666666667
242,4 Bedroom,1200.0,4.0,83.0,Anandnagar,4,69.16666666666667
243,4 Bedroom,3555.0,4.0,230.0,Anandnagar,4,64.69760900140648
244,4 Bedroom,1450.0,3.0,132.0,Anandnagar,4,91.03448275862068
246,2 BHK,1290.0,2.0,85.0,Anandnagar,2,65.89147286821705
247,3 BHK,1800.0,3.0,90.0,Anandnagar,3,50.0
248,3 BHK,2475.0,4.0,130.0,Anandnagar,3,52.525252525252526
249,3 BHK,1776.42,3.0,105.0,Anandnagar,3,59.10764346269463
252,3 BHK,1000.0,2.0,65.0,Anandnagar,3,65.0
253,2 BHK,1128.0,2.0,65.0,Anandnagar,2,57.6241134751773
256,2 BHK,1418.0,2.0,103.0,Anandnagar,2,72.63751763046544
258,2 BHK,1340.0,2.0,77.0,Anandnagar,2,57.46268656716418
259,3 BHK,1419.0,2.0,73.0,Anandnagar,3,51.4446793516561
260,3 BHK,1891.0,3.0,109.0,Anandnagar,3,57.641459545214175
261,4 Bedroom,2592.0,4.0,250.0,Anandnagar,4,96.45061728395062
265,3 BHK,1750.0,3.0,130.0,Anandnagar,3,74.28571428571429
266,3 BHK,2661.0,2.0,226.5,Anandnagar,3,85.1183765501691
269,2 BHK,1045.0,2.0,58.0,Anandnagar,2,55.50239234449761
273,1 BHK,750.0,1.0,52.5,Anandnagar,1,70.0
274,3 BHK,1732.0,3.0,85.73,Anandnagar,3,49.49769053117783
278,3 BHK,1910.0,3.0,119.0,Anandnagar,3,62.303664921465966
279,1 BHK,500.0,2.0,24.0,Anandnagar,1,48.0
281,4 BHK,3200.0,4.0,280.0,Anandnagar,4,87.5
282,2 BHK,1020.0,2.0,60.0,Anandnagar,2,58.8235294117647
283,3 BHK,1750.0,3.0,123.0,Anandnagar,3,70.28571428571429
286,3 BHK,1725.0,2.0,165.0,Anandnagar,3,95.65217391304348
287,1 BHK,665.0,1.0,32.0,Anandnagar,1,48.1203007518797
288,4 BHK,2400.0,4.0,250.0,Anandnagar,4,104.16666666666667
289,3 BHK,1355.0,3.0,83.87,Anandnagar,3,61.896678966789665
290,4 Bedroom,1200.0,3.0,125.0,Anandnagar,4,104.16666666666667
293,1 BHK,645.0,1.0,42.5,Anandnagar,1,65.89147286821705
294,3 BHK,1613.0,3.0,150.0,Anandnagar,3,92.99442033477992
296,3 BHK,1280.0,2.0,100.0,Anandnagar,3,78.125
297,2 BHK,1115.0,2.0,60.0,Anandnagar,2,53.81165919282511
298,1 BHK,416.0,1.0,18.0,Anandnagar,1,43.26923076923077
299,3 BHK,1491.0,3.0,88.0,Anandnagar,3,59.02079141515761
300,3 BHK,1929.0,4.0,101.0,Anandnagar,3,52.35873509590461
302,3 BHK,1770.0,3.0,90.0,Anandnagar,3,50.847457627118644
304,3 BHK,2025.0,4.0,115.0,Anandnagar,3,56.79012345679013
305,3 BHK,1397.0,3.0,105.0,Anandnagar,3,75.16105941302791
306,3 BHK,1738.0,3.0,110.0,Anandnagar,3,63.29113924050633
310,4 BHK,3400.0,4.0,275.0,Anandnagar,4,80.88235294117646
311,1 BHK,702.0,1.0,52.0,Anandnagar,1,74.07407407407408
312,4 BHK,2895.5,2.0,246.0,Anandnagar,4,84.95941978932827
313,2 BHK,1330.0,2.0,80.0,Anandnagar,2,60.150375939849624
314,2 Bedroom,1152.0,1.0,66.0,Anandnagar,2,57.291666666666664
315,2 BHK,1314.0,2.0,110.0,Anandnagar,2,83.71385083713851
316,3 BHK,1100.0,2.0,75.0,Anandnagar,3,68.18181818181819
318,3 BHK,1464.0,2.0,115.0,Anandnagar,3,78.55191256830601
322,2 BHK,1000.0,2.0,70.0,Anandnagar,2,70.0
325,7 BHK,3000.0,6.0,180.0,Anandnagar,7,60.0
328,3 BHK,1350.0,2.0,85.0,Anandnagar,3,62.96296296296296
329,3 BHK,1776.0,3.0,150.0,Anandnagar,3,84.45945945945945
333,3 BHK,2150.0,3.0,170.0,Anandnagar,3,79.06976744186046
336,3 BHK,1400.0,3.0,74.0,Anandnagar,3,52.857142857142854
338,1 BHK,410.0,1.0,10.0,Anandnagar,1,24.390243902439025
341,2 BHK,1335.0,2.0,72.76,Anandnagar,2,54.50187265917603
342,2 Bedroom,1600.0,2.0,90.0,Anandnagar,2,56.25
343,4 BHK,1917.0,4.0,130.0,Anandnagar,4,67.81429316640585
344,3 BHK,1521.0,3.0,95.0,Aundh,3,62.45890861275477
345,3 Bedroom,1200.0,3.0,90.0,Aundh,3,75.0
346,2 BHK,1327.0,2.0,98.0,Aundh,2,73.85079125847777
348,3 BHK,1580.0,2.0,134.0,Aundh,3,84.81012658227849
349,2 BHK,1355.0,2.0,115.0,Aundh,2,84.87084870848709
351,2 BHK,1170.0,2.0,57.0,Aundh,2,48.717948717948715
353,3 BHK,1464.0,2.0,105.0,Aundh,3,71.72131147540983
354,4 Bedroom,1200.0,4.0,120.0,Aundh,4,100.0
355,2 BHK,1180.0,2.0,75.0,Aundh,2,63.559322033898304
356,3 BHK,2195.0,4.0,127.0,Aundh,3,57.85876993166287
357,3 BHK,3522.0,3.0,380.0,Aundh,3,107.89324247586599
358,2 BHK,1192.0,2.0,71.0,Aundh,2,59.56375838926174
359,3 BHK,2700.0,4.0,270.0,Aundh,3,100.0
360,1 BHK,600.0,1.0,16.5,Aundh,1,27.5
361,4 BHK,2690.0,4.0,191.0,Aundh,4,71.00371747211896
363,3 BHK,1270.0,2.0,70.0,Aundh,3,55.118110236220474
364,3 BHK,1837.0,3.0,145.0,Aundh,3,78.93304300489929
365,3 BHK,1875.0,3.0,110.0,Aundh,3,58.666666666666664
367,4 BHK,3181.0,2.0,260.5,Aundh,4,81.89248663942156
368,2 BHK,1080.0,2.0,53.35,Aundh,2,49.398148148148145
369,1 RK,440.0,1.0,28.0,Aundh,1,63.63636363636363
370,2 Bedroom,1350.0,2.0,90.0,Aundh,2,66.66666666666667
373,1 BHK,630.5,1.0,32.79,Aundh,1,52.006344171292625
374,3 BHK,1512.0,2.0,110.0,Aundh,3,72.75132275132275
375,3 BHK,1355.0,3.0,83.87,Aundh,3,61.896678966789665
376,3 BHK,1521.0,3.0,94.71,Aundh,3,62.26824457593688
377,2 BHK,1299.0,2.0,85.0,Aundh,2,65.43494996150885
378,4 BHK,1896.0,3.0,125.0,Aundh,4,65.92827004219409
379,2 BHK,1140.0,2.0,50.0,Aundh,2,43.85964912280702
380,2 BHK,1251.0,2.0,88.73,Aundh,2,70.92725819344524
381,3 BHK,2388.0,4.0,239.0,Aundh,3,100.08375209380235
382,2 BHK,1200.0,2.0,55.0,Aundh,2,45.833333333333336
383,2 BHK,1322.0,2.0,86.0,Aundh,2,65.05295007564297
384,2 BHK,1100.0,2.0,48.0,Aundh,2,43.63636363636363
386,2 BHK,700.0,2.0,34.98,Aundh,2,49.97142857142857
387,3 BHK,1450.0,3.0,100.0,Aundh,3,68.96551724137932
389,3 BHK,1486.0,3.0,83.22,Aundh,3,56.00269179004038
390,2 BHK,1390.0,2.0,65.31,Aundh,2,46.985611510791365
392,2 BHK,1290.0,2.0,80.0,Aundh,2,62.01550387596899
393,2 BHK,1302.0,2.0,68.5,Aundh,2,52.61136712749616
395,3 BHK,1610.0,4.0,85.0,Aundh,3,52.79503105590062
399,3 BHK,1706.0,3.0,154.0,Aundh,3,90.2696365767878
400,2 BHK,1000.0,1.0,90.0,Aundh,2,90.0
402,3 BHK,1665.0,3.0,110.0,Aundh,3,66.06606606606607
403,6 Bedroom,3900.0,6.0,195.0,Aundh,6,50.0
405,3 BHK,1335.0,2.0,87.0,Aundh,3,65.1685393258427
406,3 BHK,1700.0,3.0,150.0,Aundh,3,88.23529411764706
407,4 Bedroom,3500.0,4.0,289.0,Aundh,4,82.57142857142857
409,2 BHK,1087.0,2.0,54.3,Aundh,2,49.954001839926406
413,2 BHK,1066.0,2.0,52.23,Aundh,2,48.99624765478424
414,2 BHK,1250.0,2.0,95.0,Aundh,2,76.0
415,2 BHK,1255.0,2.0,84.0,Aundh,2,66.93227091633466
416,2 BHK,1180.0,2.0,60.0,Aundh,2,50.847457627118644
417,3 BHK,3155.0,3.0,315.0,Aundh,3,99.84152139461173
418,3 BHK,2003.0,3.0,200.0,Aundh,3,99.85022466300549
421,1 BHK,700.0,1.0,35.0,Aundh,1,50.0
425,4 BHK,2330.0,5.0,175.0,Aundh,4,75.10729613733906
427,2 BHK,750.0,2.0,40.0,Aundh,2,53.333333333333336
428,3 BHK,1842.0,3.0,115.0,Aundh,3,62.43213897937025
429,4 Bedroom,1632.0,3.0,140.0,Aundh,4,85.7843137254902
431,1 Bedroom,1350.0,1.0,55.0,Aundh,1,40.74074074074074
432,4 BHK,3930.0,5.0,330.0,Aundh,4,83.96946564885496
434,4 Bedroom,1560.0,3.0,149.0,Aundh,4,95.51282051282051
435,2 BHK,1416.0,2.0,67.0,Aundh,2,47.31638418079096
437,1 BHK,1090.0,2.0,31.48,Aundh,1,28.880733944954127
440,3 BHK,1400.0,3.0,75.0,Aundh,3,53.57142857142857
441,3 BHK,1885.0,3.0,135.0,Aundh,3,71.61803713527851
443,6 BHK,5100.0,5.0,300.0,Aundh,6,58.8235294117647
445,2 Bedroom,2400.0,2.0,125.0,Aundh,2,52.083333333333336
446,1 Bedroom,540.0,1.0,22.0,Aundh,1,40.74074074074074
447,4 Bedroom,2400.0,3.0,185.0,Aundh,4,77.08333333333333
448,4 Bedroom,4723.0,4.0,500.0,Aundh,4,105.86491636671607
449,2 BHK,1290.0,2.0,72.0,Aundh,2,55.81395348837209
450,3 BHK,1482.0,3.0,110.0,Aundh,3,74.22402159244264
451,2 BHK,1094.0,2.0,54.0,Aundh,2,49.36014625228519
452,2 BHK,1234.0,2.0,80.0,Aundh,2,64.82982171799027
454,3 BHK,1810.0,3.0,97.83,Aundh,3,54.049723756906076
456,3 BHK,1648.0,3.0,85.0,Aundh,3,51.577669902912625
457,3 BHK,1703.0,3.0,120.0,Aundh,3,70.46388725778039
459,3 BHK,2502.0,3.0,138.0,Aundh Road,3,55.15587529976019
462,3 BHK,1826.0,3.0,121.0,Aundh Road,3,66.26506024096386
465,1 Bedroom,600.0,1.0,50.0,Aundh Road,1,83.33333333333333
469,2 BHK,1234.0,2.0,80.0,Aundh Road,2,64.82982171799027
470,2 BHK,1330.0,2.0,92.5,Aundh Road,2,69.54887218045113
471,6 Bedroom,2200.0,6.0,68.0,Aundh Road,6,30.90909090909091
472,3 BHK,1650.0,3.0,125.0,Aundh Road,3,75.75757575757575
475,4 Bedroom,2400.0,3.0,142.0,Aundh Road,4,59.166666666666664
477,3 BHK,2479.13,3.0,215.0,Aundh Road,3,86.7239717158842
478,4 Bedroom,3000.0,4.0,200.0,Aundh Road,4,66.66666666666667
480,4 BHK,2503.0,4.0,188.0,Aundh Road,4,75.10986815821015
483,3 Bedroom,1500.0,3.0,97.0,Aundh Road,3,64.66666666666667
484,7 Bedroom,7500.0,7.0,400.0,Aundh Road,7,53.333333333333336
485,4 Bedroom,1800.0,4.0,110.0,Aundh Road,4,61.111111111111114
489,2 Bedroom,1100.0,2.0,68.0,Aundh Road,2,61.81818181818182
492,1 BHK,605.0,1.0,40.0,Aundh Road,1,66.11570247933884
493,2 Bedroom,1200.0,2.0,100.0,Aundh Road,2,83.33333333333333
494,3 BHK,1600.0,2.0,115.0,Aundh Road,3,71.875
495,2 BHK,1369.1,2.0,104.0,Aundh Road,2,75.96231100723104
498,3 BHK,1948.0,3.0,130.0,Aundh Road,3,66.73511293634498
500,3 BHK,1810.0,3.0,126.0,Aundh Road,3,69.61325966850829
503,1 RK,412.5,1.0,19.8,Aundh Road,1,48.0
505,1 Bedroom,540.0,1.0,16.5,Aundh Road,1,30.555555555555557
506,1 BHK,850.0,1.0,57.0,Aundh Road,1,67.05882352941177
